"F1","F2"
"X4436710","X593162"
"X2702263","X4436710"
"X227450","X244331"
"X242389","X244331"
"X219943","X244331"
"X219034","X4304452"
"X7908","X897625"
"X102198","X225991"
"X1134668","X67771"
"X1134668","X815088"
"X4392312","X776288"
"X244000","X4260136"
"X1042858","X3596028"
"X165827","X4395040"
"X220013","X4399529"
"X227239","X248170"
"X1909053","X804187"
"X1909053","X213944"
"X1909053","X560165"
"X1909053","X253010"
"X3582695","X4406815"
"X4344357","X4414827"
"X4178573","X4414827"
"X828826","X917888"
"X4338567","X917888"
"X210791","X820440"
"X339039","X806812"
"X112959","X4426789"
"X112959","X210914"
"X112959","X746927"
"X4256699","X4363347"
"X154320","X4456018"
"X256121","X716519"
"X256121","X4366009"
"X256121","X4463042"
"X256121","X4476744"
"X1142584","X256121"
"X210722","X2651333"
"X252274","X2651333"
"X1083580","X2651333"
"X156651","X218376"
"X1068969","X205932"
"X218322","X4461637"
"X1793124","X692488"
"X1719","X4371216"
"X207866","X4306723"
"X207866","X252995"
"X207866","X239904"
"X1584967","X823439"
"X1584967","X216604"
"X1093620","X214087"
"X221372","X4459206"
"X221372","X525009"
"X221372","X4481986"
"X207848","X4321468"
"X2203624","X4330963"
"X259732","X4330963"
"X4330963","X739135"
"X289382","X838300"
"X214916","X838300"
"X241193","X339137"
"X1521997","X156870"
"X159548","X672612"
"X1104452","X159548"
"X159548","X211527"
"X4456936","X553485"
"X1136721","X2524288"
"X1113028","X241449"
"X241009","X241449"
"X258234","X4379834"
"X258234","X746927"
"X265696","X593163"
"X541201","X593163"
"X213764","X4375014"
"X1133067","X1134236"
"X1133067","X2452007"
"X104016","X138295"
"X4343930","X4374096"
"X244670","X4457195"
"X137617","X309422"
"X56109","X592173"
"X592173","X850214"
"X346740","X592173"
"X592173","X819971"
"X216497","X2972180"
"X216497","X58103"
"X1793227","X255508"
"X1793227","X805857"
"X1793227","X710534"
"X235273","X236025"
"X1145649","X236025"
"X236025","X800980"
"X220359","X236025"
"X236025","X244091"
"X1122827","X317157"
"X123738","X4341463"
"X1107976","X4381458"
"X1128776","X178300"
"X243954","X562741"
"X4322410","X4462831"
"X4380559","X4462831"
"X207672","X242643"
"X223286","X825474"
"X106737","X825474"
"X136399","X332410"
"X1117349","X253155"
"X212863","X253155"
"X1105521","X688993"
"X1105521","X277727"
"X1105521","X206264"
"X4296603","X562335"
"X266132","X4296603"
"X1102642","X4402805"
"X1134608","X4296675"
"X346740","X56109"
"X4387434","X56109"
"X2017429","X4450835"
"X3660590","X4450835"
"X104281","X191331"
"X160645","X205397"
"X223302","X593162"
"X912669","X947849"
"X1123797","X912669"
"X113170","X311380"
"X253948","X4414809"
"X238700","X2477589"
"X211201","X4372011"
"X113710","X211201"
"X4447049","X671354"
"X4393508","X4447049"
"X249257","X4447049"
"X235912","X534454"
"X533113","X534454"
"X1108099","X534454"
"X109707","X513073"
"X1130984","X246200"
"X246200","X250119"
"X1024519","X4320428"
"X4417311","X985056"
"X1125203","X1126808"
"X1144110","X204919"
"X136135","X222755"
"X136135","X255819"
"X561208","X713738"
"X284813","X561208"
"X4322378","X4370817"
"X1546874","X4423750"
"X232214","X341898"
"X509188","X896552"
"X221319","X4319933"
"X221319","X4322237"
"X143917","X221319"
"X223221","X693348"
"X4339774","X4465329"
"X1108930","X4350243"
"X4306131","X4393377"
"X4298128","X4360319"
"X4360319","X4447214"
"X212584","X89333"
"X1013954","X4378777"
"X235695","X625825"
"X1132813","X220042"
"X352324","X369436"
"X152079","X573165"
"X4402420","X573165"
"X217392","X696433"
"X312035","X4359887"
"X4359887","X4395848"
"X1024056","X4462639"
"X4365894","X4418570"
"X245807","X4365894"
"X251145","X4421346"
"X112804","X755581"
"X218322","X240064"
"X29360","X3269318"
"X4359330","X898715"
"X242612","X534249"
"X560245","X716623"
"X4457195","X560245"
"X1032520","X242612"
"X106955","X4392804"
"X106955","X4737"
"X106955","X78950"
"X106955","X835333"
"X4363494","X632692"
"X2203624","X225187"
"X1107029","X71326"
"X207947","X347053"
"X1129425","X202068"
"X4397593","X4452072"
"X4350694","X4397593"
"X516306","X738462"
"X2078498","X516306"
"X1133821","X238538"
"X1133821","X1134948"
"X1107148","X244994"
"X244994","X336892"
"X1144638","X98258"
"X1125648","X1144638"
"X729349","X967720"
"X160289","X1701846"
"X103580","X727953"
"X224043","X905537"
"X195857","X564610"
"X195857","X282077"
"X155216","X195857"
"X136883","X195857"
"X4437557","X729766"
"X206565","X532139"
"X1143858","X716519"
"X1142898","X716519"
"X245661","X583819"
"X254938","X683649"
"X1701833","X683649"
"X210561","X662983"
"X4343459","X4428749"
"X212994","X4416282"
"X255508","X710534"
"X217558","X250278"
"X264954","X523098"
"X675744","X882187"
"X154125","X4304296"
"X71577","X919835"
"X585151","X71577"
"X4433574","X71577"
"X1123112","X3075617"
"X564610","X805122"
"X1126447","X940666"
"X209662","X840081"
"X111088","X223593"
"X225294","X81414"
"X1129425","X4304927"
"X222489","X257611"
"X222649","X257611"
"X4424785","X815026"
"X245871","X815026"
"X4433576","X815026"
"X162920","X4381529"
"X245451","X812149"
"X2078498","X2578357"
"X1114509","X2578357"
"X4765","X903988"
"X4365307","X816965"
"X4365307","X4382894"
"X2702263","X4420719"
"X2867534","X4432944"
"X2867534","X4320966"
"X211929","X4326150"
"X240866","X913706"
"X141274","X155441"
"X207320","X4465887"
"X148449","X237073"
"X4419009","X870009"
"X4345939","X870009"
"X4302753","X870009"
"X1107740","X4462613"
"X232365","X4342317"
"X3242633","X574297"
"X1087462","X574297"
"X113279","X245661"
"X240752","X903988"
"X366977","X671156"
"X340964","X671156"
"X1118869","X590252"
"X1111584","X1118869"
"X211678","X254938"
"X1701833","X211678"
"X312035","X713738"
"X237595","X312035"
"X264791","X312035"
"X312035","X783719"
"X3471577","X981393"
"X104947","X3471577"
"X113748","X237330"
"X237330","X558499"
"X216549","X814778"
"X212427","X4440607"
"X239396","X4445104"
"X213078","X213088"
"X213088","X579899"
"X816965","X985216"
"X4422085","X816965"
"X214730","X4406815"
"X4166998","X4406815"
"X2345806","X277521"
"X4466529","X813735"
"X205811","X708849"
"X1125095","X249105"
"X249173","X436590"
"X240881","X249173"
"X1025830","X215818"
"X1671567","X4430299"
"X1671567","X662514"
"X186887","X219763"
"X3849747","X955539"
"X3849747","X758613"
"X3849747","X4381529"
"X4313529","X4361857"
"X4313529","X4390204"
"X4319933","X4350558"
"X219818","X3639039"
"X4414731","X4446565"
"X785819","X821038"
"X4326943","X693971"
"X1523777","X562576"
"X200014","X4373456"
"X1106004","X200014"
"X200014","X223465"
"X204483","X217241"
"X1107982","X267354"
"X267354","X818887"
"X235273","X237179"
"X251263","X359864"
"X251263","X773538"
"X172255","X4333666"
"X172255","X325796"
"X1145687","X580677"
"X718463","X819971"
"X4387434","X718463"
"X1906814","X205999"
"X205999","X4327452"
"X223418","X2593582"
"X2593582","X4344614"
"X1119609","X2593582"
"X277713","X955539"
"X2651948","X4434889"
"X223286","X226726"
"X814145","X88159"
"X4393265","X689666"
"X4319478","X518990"
"X4483286","X518990"
"X207374","X576742"
"X1109698","X207374"
"X207374","X584612"
"X207374","X246356"
"X205122","X3660590"
"X205122","X2375689"
"X1131914","X207885"
"X4465746","X614562"
"X1147219","X614562"
"X4341330","X4431630"
"X253630","X905537"
"X205058","X4356519"
"X214806","X4382580"
"X214806","X4463629"
"X276270","X348270"
"X4346564","X4361857"
"X257807","X540423"
"X302726","X917124"
"X4363845","X4476713"
"X570344","X790063"
"X207780","X4358020"
"X1137140","X663880"
"X1096660","X4327829"
"X171397","X4306723"
"X257663","X4304553"
"X4304553","X831386"
"X237357","X629456"
"X237357","X903626"
"X237357","X513782"
"X217383","X539496"
"X1096660","X226979"
"X1092680","X4354699"
"X3155426","X354224"
"X206565","X797200"
"X4343928","X959929"
"X1042008","X4353473"
"X548077","X835654"
"X3749019","X580190"
"X106749","X580190"
"X1110083","X214128"
"X250119","X592723"
"X1141480","X250119"
"X240890","X4475022"
"X254115","X4475022"
"X1145461","X649507"
"X217132","X4140499"
"X237253","X877265"
"X4469248","X4471636"
"X208009","X864395"
"X4333669","X4370717"
"X1781230","X4370717"
"X209238","X825502"
"X1139779","X209238"
"X209238","X241491"
"X36221","X4430568"
"X153088","X4399343"
"X113066","X2216490"
"X237595","X713738"
"X4395040","X981393"
"X4395043","X831377"
"X203975","X4311802"
"X353816","X805276"
"X249247","X805276"
"X246316","X303607"
"X218269","X499378"
"X106737","X1145338"
"X1145338","X2996653"
"X2329278","X4390204"
"X29808","X4391034"
"X1131433","X4304962"
"X2471299","X254173"
"X2471299","X3246969"
"X1148170","X752915"
"X1148170","X4314192"
"X1042008","X1148170"
"X206951","X3490229"
"X206951","X510452"
"X383501","X560770"
"X165688","X1671566"
"X165688","X4380559"
"X165688","X251273"
"X255422","X580290"
"X114373","X313925"
"X207885","X632692"
"X237482","X4384753"
"X241113","X3269318"
"X3868361","X4385103"
"X379634","X4737"
"X215999","X797182"
"X215669","X276006"
"X139504","X778795"
"X1117661","X114356"
"X114356","X207947"
"X222673","X3780776"
"X1114591","X3780776"
"X1132969","X3780776"
"X4391816","X722791"
"X3432758","X3780773"
"X3780773","X508826"
"X211539","X3780773"
"X113237","X1137124"
"X223701","X343242"
"X223701","X4358275"
"X154220","X609128"
"X225306","X609128"
"X219034","X4396040"
"X4328366","X4395329"
"X4483957","X542979"
"X4361561","X4464306"
"X3533944","X4355675"
"X316756","X4478654"
"X4044057","X845167"
"X216503","X4365064"
"X216503","X225306"
"X4453282","X672612"
"X334113","X759440"
"X217481","X4402734"
"X237993","X529762"
"X237993","X4425219"
"X541963","X831520"
"X239139","X88335"
"X4456187","X823439"
"X216604","X823439"
"X249280","X4296539"
"X249280","X978841"
"X1758198","X4308297"
"X239156","X632692"
"X249138","X680305"
"X113777","X249138"
"X153512","X249138"
"X4405879","X759250"
"X212223","X4420719"
"X368986","X4463767"
"X368986","X946179"
"X161623","X557496"
"X557496","X851103"
"X1129074","X4464300"
"X4464300","X670837"
"X4320431","X4432944"
"X106543","X4432944"
"X4359499","X585600"
"X4359499","X851103"
"X1671561","X4391816"
"X1671561","X254138"
"X1671561","X4318044"
"X1145649","X363198"
"X543366","X903626"
"X4328468","X4434042"
"X1139424","X4434042"
"X2651008","X4434042"
"X211950","X564674"
"X4326937","X564674"
"X361100","X564674"
"X2954732","X811187"
"X226012","X4311893"
"X2542324","X4311891"
"X1701833","X215379"
"X205391","X4482379"
"X205391","X259155"
"X205391","X560779"
"X4322512","X950668"
"X1597279","X222917"
"X217248","X222917"
"X325637","X684669"
"X214730","X221891"
"X110291","X4093084"
"X1110791","X214595"
"X252587","X639323"
"X1066660","X1112858"
"X1134530","X256612"
"X1142898","X1143858"
"X1143858","X4330207"
"X249425","X256569"
"X249425","X527601"
"X1138141","X4460178"
"X4362899","X727462"
