"F1","F2"
"X4436710","X4483286"
"X538998","X897625"
"X102198","X207374"
"X102198","X233990"
"X102198","X3019022"
"X1134668","X310346"
"X1134668","X239156"
"X1134668","X239904"
"X2341996","X252587"
"X776288","X959372"
"X4366201","X776288"
"X447724","X776288"
"X187488","X4450676"
"X4330994","X4450676"
"X259155","X4450676"
"X4260136","X4378777"
"X4260136","X4348931"
"X4260136","X4458277"
"X205245","X4399529"
"X306710","X4399529"
"X4399529","X4427678"
"X4365374","X678627"
"X160645","X678627"
"X589372","X678627"
"X4397025","X514449"
"X4315620","X697651"
"X4315994","X4334725"
"X220719","X328081"
"X239396","X3582695"
"X3582695","X4355364"
"X4328544","X877952"
"X206654","X877952"
"X162317","X877952"
"X4047524","X4408276"
"X217034","X4408276"
"X254115","X4408276"
"X4408276","X4414004"
"X102183","X4408276"
"X4414827","X509578"
"X4333666","X4414827"
"X112959","X917888"
"X806812","X838300"
"X683436","X806812"
"X219078","X513584"
"X513584","X815701"
"X513584","X841453"
"X223441","X309146"
"X223441","X3758319"
"X211222","X4395329"
"X112959","X222917"
"X400524","X890805"
"X4320407","X4366403"
"X4256699","X4416282"
"X207283","X4457893"
"X207283","X226718"
"X207283","X632918"
"X207283","X218239"
"X249280","X2651333"
"X2651333","X2913695"
"X156651","X4354699"
"X156651","X541963"
"X216023","X4363494"
"X216023","X4463100"
"X4469865","X511572"
"X4380559","X511572"
"X511572","X915958"
"X803238","X821187"
"X1111968","X205932"
"X205932","X815635"
"X4461637","X811677"
"X156035","X562576"
"X156035","X238508"
"X580173","X692488"
"X219844","X692488"
"X4371216","X4405879"
"X233959","X4371216"
"X4326937","X4371216"
"X1093620","X238109"
"X1093620","X255261"
"X225991","X4321468"
"X1066793","X4321468"
"X207374","X834178"
"X2542324","X834178"
"X313925","X4330963"
"X541963","X838300"
"X817333","X838300"
"X241193","X538324"
"X1521997","X947849"
"X159548","X212443"
"X134163","X159548"
"X4322410","X553485"
"X4367292","X553485"
"X1134530","X2524288"
"X4387434","X567307"
"X240890","X593163"
"X4047531","X4375014"
"X4375014","X560770"
"X4454012","X559470"
"X224925","X4308264"
"X1133067","X255194"
"X4357989","X4424717"
"X4343930","X4378777"
"X1104452","X4343930"
"X1125648","X4343930"
"X244670","X797182"
"X244670","X4458277"
"X1120344","X79712"
"X4299530","X4359316"
"X167878","X516306"
"X137191","X167878"
"X167878","X4477066"
"X216497","X238280"
"X4363347","X663880"
"X4363347","X512708"
"X236025","X4091471"
"X100640","X236025"
"X236024","X323929"
"X1125837","X4428749"
"X1125837","X525009"
"X4381458","X4412134"
"X113118","X2804995"
"X2804995","X967720"
"X2804995","X649507"
"X1092384","X209935"
"X209935","X966091"
"X243954","X4359887"
"X243954","X543181"
"X222685","X4462831"
"X207672","X236935"
"X207672","X4363845"
"X106737","X538512"
"X538512","X589233"
"X100933","X3460762"
"X3460762","X940348"
"X327078","X825474"
"X825474","X928766"
"X370772","X825474"
"X222685","X332410"
"X209595","X332410"
"X1111634","X332410"
"X114410","X332410"
"X238327","X3117367"
"X3117367","X4368625"
"X2457239","X4326150"
"X253155","X360500"
"X253155","X3432758"
"X253155","X279378"
"X1105521","X195967"
"X1105521","X2040589"
"X1030247","X191430"
"X1030247","X563764"
"X1030247","X1108099"
"X1030247","X226108"
"X56109","X901942"
"X56109","X882187"
"X4465746","X56109"
"X362293","X56109"
"X4450835","X558499"
"X1102974","X4450835"
"X24886","X4418304"
"X134163","X191331"
"X1025830","X205397"
"X204862","X205397"
"X1130197","X593162"
"X561842","X806719"
"X4433574","X561842"
"X225187","X912669"
"X383501","X618396"
"X4443379","X618396"
"X211201","X222673"
"X4361561","X4447049"
"X1133502","X4447049"
"X4447049","X824379"
"X217325","X901942"
"X4435345","X901942"
"X251884","X534454"
"X310458","X534454"
"X246200","X4311893"
"X246200","X819753"
"X239156","X246200"
"X4320428","X831520"
"X238327","X4320428"
"X811740","X985056"
"X4458277","X874951"
"X2651948","X2881604"
"X682533","X783593"
"X561208","X896552"
"X4479762","X561208"
"X4322378","X815236"
"X113331","X4322378"
"X4423750","X545436"
"X3057707","X4423750"
"X186887","X896552"
"X252587","X896552"
"X221319","X4304553"
"X1111144","X221319"
"X204470","X221319"
"X221319","X4400369"
"X223221","X240064"
"X204993","X223221"
"X223221","X631678"
"X4321559","X4339772"
"X1671561","X4339774"
"X252587","X4339774"
"X1108930","X1121144"
"X4393377","X913706"
"X258935","X4393377"
"X4360319","X831386"
"X4360319","X632918"
"X4360319","X4481986"
"X1108249","X828722"
"X248170","X625825"
"X220042","X238538"
"X220042","X4361593"
"X220042","X4083690"
"X4450314","X4475022"
"X250274","X4345879"
"X2025156","X352324"
"X100933","X112795"
"X100933","X4421858"
"X100933","X830696"
"X3611663","X573165"
"X4466720","X573165"
"X4343167","X696433"
"X207376","X4359887"
"X195967","X4359887"
"X4359887","X4443103"
"X4359887","X758613"
"X257150","X4359887"
"X328181","X557496"
"X207403","X328181"
"X1144575","X4365894"
"X4365894","X536444"
"X251145","X4302755"
"X212945","X251145"
"X251145","X4681"
"X4427084","X723690"
"X4421858","X755581"
"X261139","X4462639"
"X4462639","X824399"
"X4462639","X683436"
"X2880504","X29360"
"X209662","X4359330"
"X1040631","X4359330"
"X4310044","X4440031"
"X1114591","X4440031"
"X4440031","X4479286"
"X360530","X511782"
"X241491","X360530"
"X360530","X648976"
"X236596","X4328544"
"X236596","X4380559"
"X1032520","X181846"
"X223766","X4373418"
"X223766","X247758"
"X217034","X223766"
"X156255","X4382894"
"X268263","X4420570"
"X4334908","X4363494"
"X1105388","X2203624"
"X1107029","X276270"
"X1107029","X3951708"
"X1107029","X1134236"
"X347053","X693971"
"X202068","X3202485"
"X202068","X219844"
"X4397593","X4465887"
"X4379834","X4397593"
"X4308297","X4397593"
"X1123112","X332788"
"X1133821","X548715"
"X1133821","X210409"
"X1087462","X1133821"
"X1133821","X554950"
"X589946","X831179"
"X1123510","X4339415"
"X111978","X249280"
"X104281","X956988"
"X4423681","X956988"
"X4306131","X4395040"
"X1111968","X4306131"
"X209437","X4306131"
"X115085","X729349"
"X1082249","X729349"
"X213535","X4296675"
"X1701846","X557496"
"X112836","X1701846"
"X103580","X225943"
"X224043","X759250"
"X1144575","X224043"
"X1143000","X716416"
"X361264","X4437557"
"X1125248","X4310044"
"X152462","X226697"
"X152462","X4297733"
"X152462","X4414004"
"X152462","X4372149"
"X254938","X4356305"
"X4356305","X4424717"
"X237330","X518263"
"X231395","X518263"
"X518263","X998272"
"X265696","X683649"
"X223302","X683649"
"X4342317","X662983"
"X376348","X662983"
"X56514","X662983"
"X257322","X4370361"
"X204372","X255508"
"X115085","X250278"
"X264954","X821764"
"X264954","X325206"
"X1113693","X655650"
"X1088543","X655650"
"X641892","X71577"
"X162317","X71577"
"X2228274","X3075617"
"X256995","X940666"
"X800164","X940666"
"X550937","X590849"
"X144752","X550937"
"X159656","X223593"
"X225294","X246567"
"X4304927","X702224"
"X4304927","X558499"
"X257611","X727953"
"X1134782","X257611"
"X217880","X4215713"
"X217880","X4350694"
"X815026","X871009"
"X156032","X992439"
"X156032","X819971"
"X211188","X998272"
"X1118235","X211188"
"X211188","X4004674"
"X2578357","X963877"
"X4365307","X4428749"
"X251273","X2867534"
"X2867534","X584174"
"X4441019","X903377"
"X2216490","X4326150"
"X4155882","X4326150"
"X225991","X4326151"
"X222645","X4342154"
"X4296541","X913706"
"X1059557","X913706"
"X1125648","X155441"
"X148449","X4480650"
"X148449","X4339767"
"X148449","X4380346"
"X4327452","X870009"
"X248773","X4462613"
"X4462613","X830696"
"X4392312","X4462613"
"X4374729","X513798"
"X4341658","X513798"
"X1126447","X513798"
"X209801","X232365"
"X232365","X714446"
"X247794","X574297"
"X4334725","X574297"
"X113279","X226979"
"X113279","X4339767"
"X306436","X671156"
"X1118869","X4430956"
"X3490229","X4422320"
"X235912","X4422320"
"X211678","X4373078"
"X222917","X903187"
"X776252","X903187"
"X4348693","X903187"
"X4466720","X903187"
"X245307","X542933"
"X215100","X542933"
"X4358275","X542933"
"X312035","X512273"
"X1523777","X4333673"
"X4156025","X4333673"
"X554483","X575467"
"X232214","X554483"
"X436590","X636755"
"X4388439","X48487"
"X48487","X748564"
"X3471577","X770366"
"X254938","X899404"
"X254938","X4397941"
"X216549","X760304"
"X216549","X4460872"
"X216549","X4341658"
"X212427","X4424717"
"X2182540","X4445104"
"X4445104","X819753"
"X139504","X213088"
"X213088","X216503"
"X213088","X579143"
"X1110139","X816965"
"X206038","X816965"
"X763910","X955576"
"X4456936","X763910"
"X230455","X763910"
"X4406815","X651642"
"X212876","X2345806"
"X222635","X2345806"
"X4322410","X813735"
"X366851","X708849"
"X246136","X282480"
"X1125095","X4434889"
"X1125095","X3758319"
"X154125","X550734"
"X154125","X4483286"
"X249173","X249247"
"X249173","X820774"
"X186887","X279325"
"X186887","X940161"
"X250442","X3849747"
"X1092680","X3849747"
"X274691","X3849747"
"X178506","X4319933"
"X219818","X818429"
"X109533","X4414731"
"X4443379","X785819"
"X130441","X4326943"
"X1523777","X903626"
"X249564","X556217"
"X204483","X215999"
"X204483","X4399156"
"X207000","X235273"
"X1134948","X235273"
"X235273","X4349212"
"X1114509","X251263"
"X172255","X820440"
"X4340696","X4443379"
"X1140307","X4413728"
"X332725","X4413728"
"X205999","X257807"
"X205999","X4368625"
"X4469252","X580677"
"X2593582","X65695"
"X238816","X675804"
"X238816","X797200"
"X4434889","X894654"
"X214676","X814145"
"X689666","X815088"
"X1140307","X210914"
"X1140307","X4391686"
"X1025830","X831377"
"X1025830","X221891"
"X280943","X805857"
"X205122","X4421858"
"X220006","X3611663"
"X1119093","X220006"
"X1131914","X134163"
"X1131914","X917124"
"X4438361","X614562"
"X1125006","X614562"
"X225346","X614562"
"X260920","X4341330"
"X4296539","X4341330"
"X2144438","X4341330"
"X4341330","X4451942"
"X4341330","X541201"
"X4341330","X928766"
"X316756","X4053780"
"X250229","X4053780"
"X363198","X4053780"
"X4053780","X818327"
"X222534","X852722"
"X209096","X235064"
"X235064","X562010"
"X205058","X626175"
"X205058","X212557"
"X251884","X348270"
"X3270623","X348270"
"X348270","X4481484"
"X344861","X348270"
"X240403","X4407984"
"X240403","X4354822"
"X240403","X343700"
"X113772","X802097"
"X4357037","X802097"
"X239492","X802097"
"X311874","X4323037"
"X311874","X888460"
"X245807","X311874"
"X253255","X4346564"
"X208009","X4253641"
"X4253641","X564674"
"X309515","X4253641"
